Ia,Ib,Ic,Voltage,Torque,Speed,Condition
117.8894454,-26.88360148,-91.00584396,426.4466624,174.3335118,157.0733939,RF
115.7824644,-24.98666867,-90.7957957,324.801422,171.3312725,157.0730181,RF
114.6793661,-23.57361055,-91.10575553,202.6990664,169.8064437,157.0726423,RF
114.5560646,-22.8019673,-91.75409728,105.4016252,169.7264956,157.0722666,RF
115.2689405,-22.53123175,-92.73770872,48.81922916,170.9072662,157.0717964,RF
116.231386,-22.55368675,-93.67769924,58.11965014,172.4611018,157.0713262,RF
116.8813499,-22.41426095,-94.46708897,101.661411,173.5631192,157.070856,RF
117.0299856,-21.92139238,-95.10859324,145.5412891,173.9382674,157.0703858,RF
116.6567526,-20.80616193,-95.8505907,173.338496,173.627481,157.0697301,RF
116.1469967,-19.61251576,-96.53448098,164.3058148,173.1345838,157.0690744,RF
115.877074,-18.62027186,-97.25680216,144.2069909,173.0041383,157.0684187,RF
115.8466841,-17.3965061,-98.45017801,133.2667949,173.368342,157.0674479,RF
115.8056479,-16.11136316,-99.69428475,141.767339,173.7459626,157.066477,RF
115.483387,-14.24312631,-101.2402607,147.7664975,173.9055837,157.0651895,RF
115.062968,-12.04136657,-103.0216014,143.6733035,174.1122648,157.0636426,RF
114.3322694,-8.115788287,-106.2164811,145.128157,174.682152,157.0608892,RF
114.2192595,-7.600055313,-106.6192042,145.4263477,174.7453668,157.0605335,RF
114.2192595,-7.600055313,-106.6192042,145.4263477,174.7453668,157.0605335,RF
114.1884144,-7.46193086,-106.7264836,145.4656599,174.7621373,157.060438,RF
114.1884144,-7.46193086,-106.7264836,145.4656599,174.7621373,157.060438,RF
114.1576589,-7.323840417,-106.8338185,145.5396488,174.7792968,157.0603426,RF
114.0006052,-6.633044053,-107.3675611,145.7131932,174.864225,157.0598655,RF
113.1702193,-3.167561229,-110.0026581,145.6429184,175.3218735,157.0574801,RF
110.292518,6.752503486,-117.0450214,147.1422755,176.7005667,157.0507557,RF
105.7169938,19.01979647,-124.7367903,148.5431361,178.4608139,157.0425826,RF
100.0040796,31.41395063,-131.4180303,149.2537821,180.2701507,157.03441,RF
90.81893169,47.74630498,-138.5652367,149.2869859,182.6453456,157.0236246,RF
79.91406509,63.78286329,-143.6969284,147.9031346,184.9239555,157.01284,RF
67.48185964,79.24621402,-146.7280737,145.2485796,187.0299272,157.002056,RF
49.42134719,98.00246149,-147.4238087,139.3934679,189.3603377,156.9880664,RF
41.73103692,104.9468293,-146.6778662,135.6595348,190.1526312,156.9824813,RF
41.73103692,104.9468293,-146.6778662,135.6595348,190.1526312,156.9824813,RF
21.47509191,120.8194826,-142.2945745,126.1026569,191.703368,156.9684934,RF
0.383030188,134.0075834,-134.3906136,112.9482381,192.5550659,156.9545067,RF
-20.95918622,144.1667032,-123.207517,97.27855022,192.6381225,156.9405213,RF
-41.91304872,150.9637657,-109.050717,79.24294653,191.8652034,156.9265371,RF
-61.84124877,154.203238,-92.36198922,59.14518286,190.2237521,156.9125541,RF
-80.19533453,153.8065772,-73.61124263,37.33775876,187.678781,156.8985724,RF
-96.41503016,149.7681672,-53.35313706,13.06253217,184.2199241,156.884592,RF
-104.2516412,146.0237549,-41.77211366,-1.85E-13,181.918764,156.8768991,RF
-104.2516412,146.0237549,-41.77211366,-3.19E-12,181.918764,156.8768991,RF
-116.2612062,136.6062976,-20.34509139,-24.36538601,177.0510303,156.8629206,RF
-125.079356,124.0360644,1.043291552,-50.35738157,171.3009814,156.8489435,RF
-130.43685,108.6849652,21.7518848,-74.38013118,164.7203085,156.8349676,RF
-132.1932114,91.00352071,41.18969071,-97.46709897,157.3691803,156.8209931,RF
-130.3338435,71.52475633,58.80908713,-118.06463,149.3581785,156.8070199,RF
-124.7976328,50.7439526,74.05368021,-138.3860023,140.6344928,156.7930479,RF
-115.8561322,29.34328773,86.51284445,-154.9017699,131.4285024,156.7790773,RF
-113.3823014,24.48199012,88.90031129,-158.5589668,129.2755411,156.7759285,RF
-113.3823014,24.48199012,88.90031129,-158.5589668,129.2755411,156.7759285,RF
-100.6024366,3.141271978,97.46116464,-170.5569728,119.5741086,156.7619595,RF
-85.08812314,-17.44949559,102.5376187,-180.5670647,109.5770545,156.7479918,RF
-67.30393139,-36.70206959,104.006001,-185.8929698,99.40208485,156.7340254,RF
-47.77874749,-54.0464542,101.8252017,-187.0907872,89.1730085,156.7200604,RF
