Ia,Ib,Ic,Voltage,Torque,Speed,Condition
120.5311803,-27.85554985,-92.67563045,563.7197194,361.8932253,157.07325,HG
118.6413825,-26.18439452,-92.45698797,514.411837,356.6306079,157.0728778,HG
117.3119271,-24.71995332,-92.59197375,424.7044503,353.0460144,157.0725056,HG
116.7069355,-23.6966295,-93.01030598,333.9642522,351.6120155,157.0721334,HG
116.7294193,-23.13038677,-93.59903254,267.9099775,352.0301866,157.0717612,HG
117.4217811,-22.79673291,-94.62504823,231.7644065,354.6152095,157.0711796,HG
118.1607609,-22.55507958,-95.60568129,256.2837819,357.3414045,157.070598,HG
118.3713723,-22.32842719,-96.04294513,277.6663213,358.2396567,157.0703126,HG
118.3713723,-22.32842719,-96.04294513,277.6663213,358.2396567,157.0703126,HG
118.3913066,-22.28233882,-96.10896777,281.1949116,358.3431515,157.0702674,HG
118.3913066,-22.28233882,-96.10896777,281.1949116,358.3431515,157.0702674,HG
118.4090423,-22.23464661,-96.17439573,284.5780952,358.4403419,157.0702223,HG
118.4505043,-21.96032625,-96.49017801,300.214895,358.7906327,157.0699965,HG
118.2177745,-20.82322626,-97.39454826,327.9885404,358.8674897,157.0692757,HG
117.7319238,-19.362978,-98.36894584,321.8494231,358.397639,157.068409,HG
117.4793262,-18.11540637,-99.36391983,304.6544057,358.6385862,157.0675423,HG
117.3520394,-16.12080432,-101.231235,302.0590096,360.0495772,157.0660504,HG
117.0414429,-13.96910296,-103.0723399,309.53215,361.0655147,157.0645585,HG
116.5059054,-11.22617647,-105.2797289,306.5111214,362.1029288,157.0626661,HG
115.9842891,-8.49364737,-107.4906418,305.6945612,363.3771958,157.0607737,HG
114.9130914,-3.832589983,-111.0805014,305.8199704,365.3782124,157.0576008,HG
112.4175627,5.036142383,-117.4537051,303.3227601,369.1547401,157.0516438,HG
106.2201701,21.5588006,-127.7789707,297.3964904,375.9249004,157.0407683,HG
98.00905469,38.25128496,-136.2603397,288.4115642,382.4556976,157.0298934,HG
87.92448265,54.82212201,-142.7466047,276.6770087,388.6172958,157.0190193,HG
77.93566865,68.68390019,-146.6195688,264.1876718,393.5102338,157.0097041,HG
77.93566865,68.68390019,-146.6195688,264.1876718,393.5102338,157.0097041,HG
64.89111179,84.24495392,-149.1360657,246.7087479,398.746062,156.9988313,HG
50.55392069,98.85985699,-149.4137777,226.6402138,403.2742374,156.9879592,HG
30.07001522,116.2863996,-146.3564148,196.0376366,408.0686833,156.9735874,HG
8.424120159,131.0798566,-139.5039767,161.3212342,411.3684351,156.9592169,HG
-13.69184307,142.7466396,-129.0547965,121.8398826,412.9714824,156.9448476,HG
-35.61688513,150.9821715,-115.3652864,80.03527674,412.8659179,156.9304797,HG
-56.70140229,155.4937492,-98.79234688,36.05874112,410.812974,156.9161131,HG
-72.4346012,156.3008228,-83.86622156,-2.53E-12,407.7293315,156.90467,HG
-72.4346012,156.3008228,-83.86622156,-7.98E-12,407.7293315,156.90467,HG
-90.32574825,153.8254959,-63.4997476,-45.5955057,402.1584521,156.8903058,HG
-105.671842,147.5353499,-41.86350785,-91.03729538,394.6590669,156.8759429,HG
-117.9892627,137.6218736,-19.63261098,-134.7187381,385.3081144,156.8615815,HG
-126.8886183,124.3582038,2.530414472,-176.7569516,374.1288272,156.8472214,HG
-132.079508,108.1845867,23.89492135,-214.6681168,361.3235626,156.8328628,HG
-133.4496714,89.60787415,43.84179721,-247.5936995,347.1096941,156.8185056,HG
-130.9280021,69.15350868,61.77449345,-275.1529017,331.5781945,156.8041498,HG
-130.714464,68.16410457,62.55035945,-276.378652,330.8228331,156.80348,HG
-130.714464,68.16410457,62.55035945,-276.378652,330.8228331,156.80348,HG
-124.1973773,46.45105839,77.74631888,-298.1823606,314.1804248,156.7891258,HG
-114.092555,24.21405495,89.87850007,-312.9844999,296.7578373,156.7747729,HG
-100.7087578,2.138565631,98.57019217,-320.5473787,278.7952273,156.7604216,HG
-84.48877892,-19.10755451,103.5963334,-319.8862811,260.6272747,156.7460717,HG
-65.81159489,-38.88007223,104.6916671,-314.3908924,242.1570883,156.7317232,HG
-45.39380053,-56.55184455,101.9456451,-299.8530795,224.019883,156.7173762,HG
-25.36061591,-70.63422079,95.99483671,-280.5325395,207.5613634,156.7040332,HG
-25.36061591,-70.63422079,95.99483671,-280.5325395,207.5613634,156.7040332,HG
-3.323128186,-82.81428379,86.13741197,-253.6531312,190.5021297,156.6896891,HG
18.60273688,-91.58376277,72.98102589,-219.6999146,174.2310796,156.6753463,HG
39.66392815,-96.62344554,56.95951739,-181.8288667,159.0011848,156.661005,HG
59.24055095,-97.82372443,38.58317347,-140.1798471,144.9424727,156.6466652,HG
76.75781384,-95.18138678,18.42357294,-94.19218899,132.1765383,156.6323267,HG
91.65202032,-88.74257796,-2.90944236,-46.20253186,120.7153801,156.6179897,HG
102.8226646,-79.48971093,-23.33295367,4.84E-12,111.2901247,156.6045678,HG
102.8226646,-79.48971093,-23.33295367,1.68E-11,111.2901247,156.6045678,HG
111.4279133,-66.43458326,-44.99332999,49.07986129,102.574505,156.5902334,HG
116.3624747,-50.52208322,-65.84039148,97.0556114,95.25822792,156.5759005,HG
