Ia,Ib,Ic,Voltage,Torque,Speed,Condition
114.7415603,-23.36006372,-91.38149662,189.56234,166.7995651,157.0725162,SF
114.6998406,-22.77358392,-91.92625669,110.9090641,166.8525464,157.0721879,SF
115.4185596,-22.53861076,-92.87994883,56.96794634,168.065661,157.0716941,SF
116.3575279,-22.54936222,-93.80816567,69.95537357,169.6020572,157.0712003,SF
116.9432936,-22.32673451,-94.61655908,114.8322462,170.6356526,157.0707065,SF
117.017069,-21.71987947,-95.29718958,156.3179475,170.9406091,157.0702126,SF
116.537385,-20.35920612,-96.17817886,177.8302994,170.5795522,157.0694464,SF
116.0409825,-19.05387673,-96.98710579,160.7935417,170.2143796,157.0686801,SF
115.8782207,-18.01647449,-97.86174625,142.3860083,170.3398355,157.0679138,SF
115.8690977,-16.51894326,-99.35015447,142.8188223,170.9022094,157.0667417,SF
115.6597595,-14.84629299,-100.8134665,152.4857383,171.2201808,157.0655696,SF
115.1690024,-12.35686338,-102.812139,150.4975288,171.4955569,157.0638426,SF
114.5840143,-9.120383651,-105.4636306,149.5667685,172.0676263,157.0615657,SF
114.365408,-8.045289433,-106.3201185,150.7634946,172.2457745,157.0608229,SF
114.365408,-8.045289433,-106.3201185,150.7634946,172.2457745,157.0608229,SF
114.3362645,-7.912197586,-106.4240669,150.829393,172.2656773,157.0607312,SF
114.3362645,-7.912197586,-106.4240669,150.829393,172.2656773,157.0607312,SF
113.8004221,-5.561919231,-108.2385029,151.1133378,172.6225752,157.0591126,SF
112.1561699,0.825863937,-112.9820338,151.4405598,173.6416078,157.0547508,SF
108.4472953,12.20070769,-120.6480029,152.3020864,175.4129626,157.0471212,SF
103.722043,23.73919217,-127.4612352,152.1079451,177.1730776,157.039492,SF
95.95719354,39.12647263,-135.0836662,151.413609,179.4593027,157.0293677,SF
86.59581947,54.38336669,-140.9791862,149.5192577,181.6414034,157.0192439,SF
72.91571659,72.87125554,-145.7869721,144.0902037,184.1568343,157.0066324,SF
57.30881471,90.35404062,-147.6628553,137.381753,186.3706264,156.9940219,SF
52.20195571,95.42675882,-147.6287145,135.0380681,186.9661755,156.9901572,SF
52.20195571,95.42675882,-147.6287145,135.0380681,186.9661755,156.9901572,SF
34.63425192,110.9755938,-145.6098457,125.3479794,188.6646122,156.977548,SF
16.06817699,124.5959314,-140.6641084,113.4523509,189.9119305,156.9649397,SF
-8.602577886,138.7575838,-130.1550059,94.80356673,190.7180346,156.948704,SF
-33.26522167,148.6473319,-115.3821102,72.69930081,190.5433716,156.93247,SF
-56.88934331,153.8279444,-96.93860109,48.51948412,189.3111682,156.9162377,SF
-78.56788301,154.1285722,-75.56068918,22.32594949,186.9941699,156.900007,SF
-93.77540187,150.8830941,-57.10769225,-2.09E-11,184.3487402,156.887186,SF
-93.77540187,150.8830941,-57.10769225,-2.39E-11,184.3487402,156.887186,SF
-109.9064277,142.4980979,-32.59167023,-28.39109948,180.0075365,156.8709584,SF
-122.0076006,129.6426433,-7.635042774,-56.57610874,174.5680015,156.8547326,SF
-129.6067994,112.8366364,16.77016296,-83.2956969,168.1272884,156.8385084,SF
-132.3554653,92.66423968,39.69122558,-109.3254304,160.6908019,156.822286,SF
-130.1290219,70.00728545,60.1217365,-131.3425908,152.4480292,156.8060654,SF
-123.1363375,45.77023905,77.36609843,-148.0711589,143.617604,156.7898465,SF
-122.4454614,43.96790645,78.47755493,-149.3840046,142.9481099,156.7886735,SF
-122.4454614,43.96790645,78.47755493,-149.3840046,142.9481099,156.7886735,SF
-110.5391249,18.98122143,91.55790345,-163.2644895,133.5202202,156.7724565,SF
-94.57791243,-5.59300422,100.1709167,-171.5351592,123.7923444,156.7562413,SF
-75.16676261,-28.86560337,104.032366,-175.3659058,113.9008822,156.7400278,SF
-53.06385346,-49.88405556,102.947909,-173.1119758,104.0112968,156.7238161,SF
-29.16281659,-67.79123608,96.95405267,-164.1037563,94.29252309,156.7076062,SF
-5.818762404,-81.25982288,87.07858528,-153.1430615,85.49682016,156.6922737,SF
-5.818762404,-81.25982288,87.07858528,-153.1430615,85.49682016,156.6922737,SF
18.80386122,-91.30749434,72.50363312,-136.6757487,76.61510268,156.6760672,SF
42.40822362,-96.69922654,54.29100292,-114.5598344,68.33030063,156.6598625,SF
64.01720959,-97.17974727,33.16253768,-89.25637374,60.74348409,156.6436594,SF
82.79938639,-92.74825692,9.948870526,-61.28354186,53.90620561,156.6274582,SF
98.01004823,-83.63258453,-14.3774637,-31.70193313,47.92831392,156.6112586,SF
109.0838528,-70.15198506,-38.93186778,-0.869602898,42.74402898,156.5950608,SF
109.315318,-69.74119933,-39.57411865,-1.79E-11,42.6217669,156.5946302,SF
109.315318,-69.74119933,-39.57411865,-4.19E-12,42.6217669,156.5946302,SF
115.6036874,-52.34311818,-63.26056922,32.10342473,38.29439627,156.5784341,SF
117.0802232,-40.11133589,-76.96888731,50.34137352,36.05459432,156.5685036,SF
117.0802232,-40.11133589,-76.96888731,50.34137352,36.05459432,156.5685036,SF
117.0802232,-40.11133589,-76.96888731,50.34137352,36.05459432,156.5685036,SF
117.0802254,-40.11133585,-76.96888955,20.47296852,36.05460366,156.5685036,SF
117.0802299,-40.11134737,-76.96888257,8.3260138,36.05462686,156.5685036,SF
117.0802354,-40.11136358,-76.96887185,3.386065797,36.05465569,156.5685036,SF
117.080244,-40.11138994,-76.96885401,0.872257659,36.05470085,156.5685036,SF
117.0802569,-40.11143061,-76.96882626,0.087343368,36.05476952,156.5685036,SF
117.0802712,-40.11147586,-76.96879532,-0.000396851,36.0548457,156.5685036,SF
117.0802712,-40.11147586,-76.96879532,-0.000396868,36.0548457,156.5685036,SF
117.0802712,-40.11147586,-76.96879532,-0.000396851,36.0548457,156.5685036,SF
117.0802712,-40.11147586,-76.96879532,-0.000396851,36.0548457,156.5685036,SF
117.0802712,-40.11147586,-76.96879532,-0.000396828,36.0548457,156.5685036,SF
117.0802712,-40.11147587,-76.96879532,-0.000396717,36.05484571,156.5685036,SF
117.0802712,-40.11147589,-76.9687953,-0.000396162,36.05484575,156.5685036,SF
117.0802712,-40.11147602,-76.96879522,-0.000393396,36.05484595,156.5685036,SF
117.0802714,-40.11147663,-76.9687948,-0.000379784,36.05484698,156.5685036,SF
117.0802724,-40.11147967,-76.96879272,-0.000316839,36.0548521,156.5685036,SF
117.0802772,-40.1114949,-76.9687823,-9.82E-05,36.05487773,156.5685035,SF
117.0803013,-40.11157105,-76.96873023,0.000174329,36.05500587,156.5685035,SF
117.0804217,-40.11195181,-76.96846988,0.000304376,36.05564655,156.5685034,SF
117.0810237,-40.11385558,-76.96716812,0.000525725,36.05884994,156.5685027,SF
117.0840339,-40.12337447,-76.9606594,0.00051797,36.07486695,156.5684992,SF
117.0990878,-40.17097016,-76.92811761,0.000534166,36.15495322,156.5684819,SF
117.1744328,-40.40897894,-76.76545384,0.000606462,36.5554142,156.5683955,SF
117.5530511,-41.59978164,-75.95326945,0.000972459,38.55846205,156.5679633,SF
119.4941357,-47.57289526,-71.92124047,0.002903206,48.59237136,156.5658025,SF
128.257419,-72.19154892,-56.06587011,0.012530371,89.70803087,156.5570176,SF
147.4542534,-116.7697539,-30.68449943,0.03673351,163.1218437,156.5415894,SF
172.2272432,-162.914742,-9.312501201,0.07075187,237.5894942,156.526162,SF
203.2001879,-209.9613935,6.761205593,0.114886196,311.7817951,156.5107355,SF
240.6202903,-256.772999,16.15270866,0.168908257,383.6726082,156.4953099,SF
284.2591412,-301.8114371,17.55229585,0.231890569,450.6964545,156.4798852,SF
333.3606935,-343.2517886,9.891095083,0.302561504,509.9661796,156.4644615,SF
386.6414505,-379.1308168,-7.510633708,0.378775704,558.529881,156.4490388,SF
442.3432106,-407.5154969,-34.82771375,0.457947969,593.6427715,156.4336173,SF
498.33402,-426.6762472,-71.65777284,0.53710005,613.0288096,156.4181971,SF
528.3951887,-432.7826062,-95.61258252,0.57947071,616.381893,156.4097193,SF
528.3951887,-432.7826062,-95.61258252,0.57947071,616.381893,156.4097193,SF
580.1291086,-435.1281614,-145.0009472,0.652246514,608.5769787,156.3943014,SF
626.0530572,-425.7949438,-200.2581135,0.71686914,582.7669483,156.3788851,SF
663.9827369,-404.8649506,-259.1177863,0.770476086,539.7489364,156.3634706,SF
692.1071072,-373.0666038,-319.0405035,0.810690552,481.2810482,156.3480581,SF
709.1247241,-331.7399897,-377.3847344,0.835774419,409.976964,156.3326477,SF
714.3398149,-282.751951,-431.5878639,0.844740056,329.1311407,156.3172395,SF
707.7097539,-228.368688,-479.3410658,0.837408301,242.4907437,156.3018335,SF
689.840146,-171.0973657,-518.7427803,0.814408454,153.9950098,156.2864297,SF
661.9285744,-113.5109283,-548.4176461,0.777121174,67.50528745,156.2710283,SF
625.6627523,-58.07166692,-567.5910853,0.727570046,-13.4506791,156.2556291,SF
591.8489438,-16.58122036,-575.2677234,0.680583951,-72.44230301,156.2432592,SF
591.8489438,-16.58122036,-575.2677234,0.680583951,-72.44230301,156.2432592,SF
545.8106762,29.7237379,-575.5344141,0.615485115,-136.3840777,156.2278639,SF
497.5089639,68.83930656,-566.3482705,0.545860836,-188.3424594,156.2124705,SF
449.1008397,99.92764759,-549.0284873,0.474620268,-227.5632599,156.1970791,SF
402.4905777,122.7070888,-525.1976664,0.404487868,-254.1096012,156.1816895,SF
359.2152304,137.4148062,-496.6300366,0.337845723,-268.766222,156.1663016,SF
320.3701594,144.7274943,-465.0976536,0.276628647,-272.8900528,156.1509153,SF
286.5795977,145.6493247,-432.2289224,0.222264542,-268.2236733,156.1355305,SF
258.0128303,141.3793249,-399.3921552,0.175661649,-256.6911076,156.1201471,SF
234.4421686,133.1719125,-367.6140811,0.137239935,-240.1963062,156.1047652,SF
215.3349565,122.2045619,-337.5395184,0.106999786,-220.443577,156.0893846,SF
199.9687641,109.4654218,-309.4341858,0.084735042,-198.7963142,156.0740053,SF
